t,latitude,longitude,altitude
2018-03-01 10:56:00,31.60861111666667,-8.040833333333333,457.2
2018-03-01 10:56:45,31.623055549999997,-8.026388883333333,1066.8
2018-03-01 10:57:49,31.65583333333333,-7.994166666666667,2133.6
2018-03-01 10:58:26,31.677777783333337,-7.9725,2743.2
2018-03-01 10:59:04,31.703055549999995,-7.947222216666666,3352.8
2018-03-01 11:00:30,31.76138888333333,-7.889722216666667,4572.0
2018-03-01 11:02:08,31.834166666666665,-7.817777783333333,5791.2
2018-03-01 11:02:10,31.837777783333333,-7.814166666666667,5821.68
2018-03-01 11:03:04,31.870833333333334,-7.703333333333333,6400.8
2018-03-01 11:05:16,31.960555549999995,-7.401111116666667,7620.0
2018-03-01 11:06:39,32.02055555,-7.19944445,8260.08
2018-03-01 11:07:47,32.08722221666667,-7.048888883333333,8686.8
2018-03-01 11:09:26,32.19138888333333,-6.8133333333333335,9296.4
2018-03-01 11:10:26,32.24888888333333,-6.682222216666667,9753.6
2018-03-01 11:12:00,32.343055549999995,-6.466388883333334,10363.2
2018-03-01 11:13:05,32.41694445,-6.297777783333333,10759.44
2018-03-01 11:13:41,32.490833333333335,-6.236111116666667,10972.8
2018-03-01 11:15:45,32.74166666666667,-6.025833333333334,10972.8
2018-03-01 11:21:44,33.458333333333336,-5.418611116666667,10972.8
2018-03-01 11:25:38,33.9275,-5.013611116666667,10972.8
2018-03-01 11:26:59,33.98694445,-4.809722216666667,11277.6
2018-03-01 11:29:33,34.12055555,-4.351111116666667,11277.6
2018-03-01 11:30:31,34.17277778333334,-4.1688888833333335,11277.6
2018-03-01 11:34:20,34.3625,-3.474722216666667,11277.6
2018-03-01 11:38:20,34.559999999999995,-2.7525,11277.6
2018-03-01 11:39:11,34.60166666666667,-2.6,11277.6
2018-03-01 11:42:44,34.77333333333333,-1.9502777833333333,11277.6
2018-03-01 11:43:28,34.84861111666667,-1.8405555500000002,11277.6
2018-03-01 11:51:49,35.612777783333335,-0.6549999999999999,11277.6
2018-03-01 11:56:34,35.898611116666665,0.13638888333333332,11277.6
2018-03-01 12:04:41,36.36527778333333,1.5,11277.6
2018-03-01 12:08:50,36.601388883333335,2.1933333333333334,11277.6
2018-03-01 12:14:23,36.69111111666667,3.21555555,11277.6
2018-03-01 12:16:27,36.79611111666667,3.5716666666666668,11277.6
2018-03-01 12:17:53,36.92694445,3.727777783333333,11582.4
2018-03-01 12:19:16,37.07111111666667,3.89944445,11582.4
2018-03-01 12:31:13,38.48277778333333,5.1244444499999995,11582.4
2018-03-01 12:38:28,39.0,6.25,11582.4
2018-03-01 12:53:30,40.608055549999996,8.0,11582.4
2018-03-01 12:54:56,40.62805555,8.243888883333334,11582.4
2018-03-01 12:56:11,40.64555555,8.461388883333333,11582.4
2018-03-01 12:57:26,40.66583333333333,8.72305555,11582.4
2018-03-01 12:58:11,40.67694445,8.867222216666667,11582.4
2018-03-01 12:58:38,40.72472221666666,8.938611116666666,11582.4
2018-03-01 12:58:58,40.754722216666664,8.98305555,11277.6
2018-03-01 12:59:37,40.81472221666666,9.072222216666667,11277.6
2018-03-01 12:59:57,40.84444445,9.116666666666667,10972.8
2018-03-01 13:00:35,40.89833333333333,9.196666666666665,10972.8
2018-03-01 13:00:43,40.910277783333335,9.214722216666667,10850.880000000001
2018-03-01 13:01:19,40.940000000000005,9.30194445,10698.48
2018-03-01 13:02:18,40.995277783333336,9.465555550000001,10668.0
2018-03-01 13:03:03,41.03222221666667,9.57444445,10058.4
2018-03-01 13:03:36,41.05833333333333,9.650833333333333,10058.4
2018-03-01 13:03:55,41.07305555,9.694444449999999,9753.6
2018-03-01 13:04:23,41.09527778333334,9.76,9753.6
2018-03-01 13:04:28,41.09888888333333,9.770833333333334,9662.16
2018-03-01 13:04:38,41.105277783333335,9.792499999999999,9509.76
2018-03-01 13:05:23,41.137222216666665,9.901111116666666,9144.0
2018-03-01 13:06:13,41.16916666666667,10.009444449999998,8900.16
2018-03-01 13:07:18,41.21277778333334,10.156388883333333,8564.880000000001
2018-03-01 13:11:40,41.383055549999995,10.741388883333334,7193.28
2018-03-01 13:12:00,41.396111116666674,10.786388883333334,7193.28
2018-03-01 13:12:30,41.41583333333333,10.853888883333333,6918.96
2018-03-01 13:13:25,41.451944450000006,10.977777783333332,6614.16
2018-03-01 13:14:05,41.47805555,11.067777783333332,6248.4
2018-03-01 13:14:56,41.50916666666667,11.178333333333335,5791.2
2018-03-01 13:15:07,41.51527778333333,11.200277783333332,5791.2
2018-03-01 13:16:21,41.558611116666675,11.354999999999999,5181.6
2018-03-01 13:16:49,41.57416666666666,11.410277783333333,5181.6
2018-03-01 13:16:55,41.57722221666666,11.421388883333332,5120.64
2018-03-01 13:18:23,41.627777783333336,11.601111116666665,4267.2
2018-03-01 13:18:28,41.630833333333335,11.612222216666668,4267.2
2018-03-01 13:19:04,41.64972221666666,11.679722216666667,3962.4
2018-03-01 13:19:42,41.67194445,11.758333333333333,3657.6
2018-03-01 13:19:50,41.675,11.76944445,3657.6
2018-03-01 13:20:42,41.70333333333333,11.87055555,3230.88
2018-03-01 13:21:06,41.71583333333333,11.916388883333333,3048.0
2018-03-01 13:21:20,41.722222216666665,11.93944445,3048.0
2018-03-01 13:22:01,41.744166666666665,12.019722216666668,2804.16
2018-03-01 13:23:22,41.78194445,12.157222216666668,2377.44
2018-03-01 13:24:17,41.80388888333333,12.2375,2377.44
2018-03-01 13:26:14,41.89083333333333,12.39444445,1584.96
2018-03-01 13:27:09,41.92333333333333,12.453333333333335,1219.2
